Species	Atoll	Guild	2001	2001	2001	2002	2002	2002	2002	2003	2003	2003	2003	2011	2011	2011	2011	2012	2012	2012	2012	2013	2013	2013	2013
Acanthurus_auranticavus	KAVRATTI	Algal_Feeder	1	0	1	1	0	1	1	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	1
Acanthurus_leucosternon	KAVRATTI	Algal_Feeder	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Acanthurus_lineatus	KAVRATTI	Algal_Feeder	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1
Acanthurus_nigrofuscus	KAVRATTI	Algal_Feeder	1	0	1	1	1	1	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1
Acanthurus_thompsoni	KAVRATTI	Zooplanktivore	0	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0
Acanthurus_triostegus	KAVRATTI	Algal_Feeder	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Acanthurus_xanthopterus	KAVRATTI	Algal_Feeder	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aethaloperca_rogaa	KAVRATTI	Piscivore	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	0
Amanses_scopas	KAVRATTI	Corallivore	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Anampses_lineatus	KAVRATTI	Microinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anampses_meleagrides	KAVRATTI	Microinvertivore	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0
Aphareus_furca	KAVRATTI	Macroinvertivore	0	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	1	0
Apolemichthys_trimaculatus	KAVRATTI	Omnivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arothron_nigropunctatus	KAVRATTI	Omnivore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Balistapus_undulatus	KAVRATTI	Macroinvertivore	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Balistoides_conspicullum	KAVRATTI	Macroinvertivore	0	0	1	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1
Balistoides_viridescens	KAVRATTI	Macroinvertivore	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1
Bodianus_axillaris	KAVRATTI	Microinvertivore	0	0	0	1	0	0	1	0	0	0	1	1	0	0	1	0	0	1	0	0	0	1	1
Bodianus_diana	KAVRATTI	Microinvertivore	1	0	1	0	0	1	0	0	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0
Caesio_caerulaurea	KAVRATTI	Zooplanktivore	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Caesio_lunaris	KAVRATTI	Zooplanktivore	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
Caesio_xanthonota	KAVRATTI	Zooplanktivore	1	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Cantherhines_dumerili	KAVRATTI	Corallivore	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Caranx_ignobilis	KAVRATTI	Piscivore	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
